0.375,0.693,0.093,0.108,0.532,0.768,0.024,0.454,0.553,0.831
0.880,0.903,0.098,0.375,0.162,0.521,0.190,0.985,0.201,0.857
0.262,0.768,0.061,0.593,0.803,0.345,0.507,0.276,0.102,0.427
0.751,0.337,0.975,0.339,0.072,0.344,0.600,0.372,0.478,0.932
0.251,0.001,0.666,0.404,0.834,0.353,0.470,0.164,0.246,0.878
0.231,0.910,0.387,0.419,0.733,0.830,0.127,0.727,0.898,0.895
0.913,0.298,0.330,0.650,0.382,0.956,0.298,0.861,0.827,0.896
0.598,0.597,0.151,0.167,0.632,0.611,0.744,0.990,0.739,0.130
0.914,0.429,0.311,0.384,0.082,0.117,0.822,0.118,0.989,0.586
0.713,0.505,0.973,0.530,0.297,0.619,0.949,0.032,0.548,0.898
