lambda_0.5,lambda_1.0,lambda_2.0,lambda_5.0
0.9385361799537182,0.03193368129305382,0.5136553467838525,0.01061301918206188
6.020242861835042,1.0117295509275495,0.04394586309804203,0.1515817881251042
2.6334913870908987,0.37739670879509984,0.08814710734170575,0.15558208853894845
1.8258851075519065,0.7104371771341901,1.1441152500887528,0.2029074896409232
0.33924974092469257,2.3812655298459755,0.46624697348279476,0.2589921125833369
0.33919258382921036,0.28673882298329834,0.004619802805497205,0.7447114017399986
0.11967753721736135,0.5282819748826726,0.05349845071797466,0.14525822384607126
4.022461728959879,1.4087491475385834,0.5445811936451205,0.07800394282119577
1.838164307254529,0.25980515691739403,0.0025372185258985013,0.31713079594653726
2.4625001234091806,0.08010427855017636,0.08765790805209953,0.06317029308722746
0.041598615998277244,0.3421403038870571,0.39784892306946584,0.11559668625466027
7.007114950316624,0.17580835850006285,0.5886576433274063,0.01634103371673398
3.57285908670935,2.6549500858806248,0.5277207410676243,0.0051355219082948765
0.477375250497894,1.6508870804845694,0.12697493365401225,0.6574759846537205
0.4013579774993267,1.003494190520531,0.6227086444492694,0.3615535284230125
0.4052228456645141,2.051519730520813,0.13541187952640296,0.23812854655986834
0.7255074589209543,1.6279689407405564,0.19681745445904222,0.10517192889302839
1.487855661721709,0.20649547635863907,0.6861787758328953,0.03806130722842175
1.1310741335606733,2.230813405235561,0.524386907151384,0.03402414831457083
0.688445985107883,0.775099901966172,0.9459780387317005,0.057601197825316724
1.8927417477995974,1.6473482913035662,0.5359066440848812,0.15935812966266294
0.30046905745467734,2.2642426492862313,0.4200221527936287,0.25076985755535514
0.6910310240048045,0.38273071641831846,0.04917853072420524,0.2158780699393597
0.9125544364416941,0.11659216012385083,0.22920815360351002,0.06568245227779919
1.21786937571955,0.25868674613938136,0.15408007392941558,0.6196206997112613
3.075872022061824,0.5570576927486144,0.13985010183121063,0.2678034809750453
0.4454717242573806,1.703829726638945,1.8061547030814629,0.16164609638626626
1.4440583100662554,1.9713449718798333,0.2496937485200119,0.18920609440748704
1.7950094426195211,0.006976409181650647,1.1130276056242614,0.10880757310641027
0.09512769951281709,0.7148761593385558,0.49866719286824157,0.0569322584548127
1.8706660412992202,0.5402733209186713,0.7919126263441999,0.08800282586462249
0.37392250395483284,0.2511673382758245,0.3492176621943852,0.28363636955134264
0.13452786175860848,0.1276803915456468,0.4300779513207925,0.0028996159441608553
5.947375587013862,0.41190857986243246,0.3391467166708467,0.02467607844799521
6.741260684922345,2.8631211226911497,0.10860744766261925,0.009418875390504107
3.3046631456257534,0.3903838028814744,0.6408809015329019,0.008316290383458486
0.7265757199375166,0.7314528057601519,0.16478868418313147,0.38684060672313175
0.20555463000501248,1.2140869768808549,0.012308240540344307,0.24324812234013768
2.3055015261973235,0.45197449896696235,0.518484393147637,0.12855691888257847
1.1601816851707967,3.5677981382916997,0.09746678511241134,0.02059138368956265
0.2603044679088973,3.282009864541398,1.4105415736366516,0.13530359315944665
1.3670944562683003,0.2900612949922053,1.5387812063940116,0.12829006641887425
0.06998744288695817,0.6876592784638472,1.2317549423169207,0.038038942560045
4.800845774786048,0.3579304600790468,0.23114369824868336,0.11377982626046478
0.5989155536813722,0.3352496763810817,0.007788657685972191,0.10166732291664138
2.1725115971299607,0.03758447776552253,1.3177617286659449,0.19134448658262693
0.7470931633152473,0.9404920709825931,0.27946913852653066,0.20162290720818243
1.4682217918184572,0.6985196328296385,1.700421008061028,0.009272464804106947
1.582447595963595,0.05285108738039248,1.6568677380651027,0.0938768009310123
0.4087771990158115,0.32662592101036936,0.9586935085897095,0.19662499895654573
6.985614265472453,2.3888609510893404,0.17438803408608014,0.13988789052155795
2.9844907542762815,0.27386055214207705,0.2431459660493468,0.38826989063508777
5.610188838583165,0.15653086098546976,0.9523633262390399,0.21499495281099956
4.504303995068393,0.6722721094736362,0.19057311571535854,0.03557057375346147
1.82210882476655,4.24403698261526,0.09285930814787739,0.014636487251248168
5.09887075853881,0.2771448135597262,0.4068684960301139,0.20567882942177823
0.18531091790623125,1.1151550102972934,1.375646735403521,0.005373814533478886
0.4362693892625349,1.4338876262394629,0.5954127988789686,0.17626947556145814
0.09256393137366391,0.2713331723358058,0.42205616821782777,0.5634510910774304
0.7870641736061736,1.3027489284923162,0.05111409867466144,0.1713564891155089
0.9842605835884372,0.458522799264304,0.47726535775885887,0.09826013844478146
0.6331208864176514,1.0005037477317713,2.3052848739231586,0.2061654315689964
3.529115730481868,1.0038378271376383,0.07546029332113208,0.12259119481021825
0.8824539990597403,0.7673852499523488,0.36524766249075186,0.15776287211526405
0.6596056802684984,0.09462915881162096,1.0493043189503972,0.5676254292465999
1.564814166415492,1.803644794246297,0.675017124176835,0.09758550547003743
0.3037962956412577,0.3868102936673966,0.5970372126508365,0.6498183723013509
3.2409671915494624,0.20643210660755654,0.606143778112245,0.4715152367539839
0.15495173762261802,0.0416297597943452,0.22274617115747455,0.04357925218809
8.66829267917464,0.8937784045945835,0.1737810421335476,0.014376831060631404
2.958967552483023,1.1318517342673489,0.8286872536298562,0.021245067096326044
0.4430788810117719,0.01672694755847062,0.8306640995435144,0.003677977569446741
0.01107484075187095,0.7176305845494884,1.0089750236839574,0.01984100233115083
3.379793554972252,0.25682414705495765,1.2223079809183182,0.22977497451543344
2.4541918147740893,1.036124341547692,0.35804661846645186,0.014769925389285406
2.611325817575998,0.19160422253913376,0.3480921887755996,0.07683143765897371
2.950429052087027,1.174212527567719,0.8004749661542437,0.37270520801945545
0.1538585310275927,0.4889587009811018,0.5248595374439001,0.004709400636142302
0.887785344832465,2.760343817804307,0.6052753242557585,0.3369061012371917
0.2463002092088993,0.14794441343927894,0.7943097374771024,0.06621669336792589
3.9770591433164455,0.41713243399517175,1.1036617381733835,0.025150023965821527
1.9526023834247481,0.12044428503699642,0.2062412035688271,0.2386310816879827
0.803637602502602,2.5861903971507236,0.23546839436377817,0.19827983528664406
0.13133613160956578,2.098333707160994,0.04934801959368028,0.41988316281738935
0.7449767008207074,0.2983273700614889,0.43170701330471734,0.2656587157528801
0.7866284263682627,1.0787627390439145,0.0183020521054285,0.32539916119879564
2.6157515679154817,1.6994840726392213,0.3133034740910548,0.06626677246134771
2.02977871785204,0.8101323606865081,0.391147292843563,0.039066659208089397
4.3645038248030295,0.7542794101939461,0.16881533015726125,0.27775127920108494
1.2781322667526196,0.27687704543790315,0.44681626507308764,0.32884183664868394
0.2547447872310038,0.09772614047494073,0.015487531050737273,0.9314009780280461
2.498252688633199,2.275123225194523,0.01903174964139469,0.10641587083052101
2.860785506153728,2.3067744276484268,0.864675684769068,0.09304878239234654
1.6477749897716576,1.0026699194828848,0.22329251210387235,0.2995909006687174
2.947779933442729,0.4140465098113239,0.067944520648714,0.08334673418615063
1.3616294630205559,0.42956761581164393,0.3693267941395078,0.5340275848798653
1.479357677554534,1.294465429727118,0.7348239702228676,0.39096783143324987
1.1156283878168547,2.2740973491072523,0.12155900171495168,0.11207112188843193
0.05149554798022746,2.1811325693966133,0.48760980932824644,0.2779569432990922
0.22833487038373168,1.5135621919309032,0.04460551449494864,0.28092659737100345
